0,1,2,3,4,5,6,7
llama3.1:8b,4,1,4,3.69,12,12.1,2.863
llama3.1:8b,4,1,5,3.69,12,6.27,3.847
llama3.1:8b,4,1,6,3.69,12,11.2,4.387
llama3.1:8b,4,2,0,3.82,0,2.49,3.055
llama3.1:8b,4,2,1,3.82,0,3.31,3.079
llama3.1:8b,4,2,2,3.82,0,3.34,2.698
llama3.1:8b,4,2,3,3.82,0,11.26,0.764
llama3.1:8b,4,2,4,3.82,0,6.96,2.618
llama3.1:8b,4,2,5,3.82,0,2.01,2.482
llama3.1:8b,4,2,6,3.82,0,1.08,3.185
llama3.1:8b,4,2,0,3.82,2,2.5,3.106
llama3.1:8b,4,2,1,3.82,2,2.51,3.409
llama3.1:8b,4,2,2,3.82,2,2.41,3.061
llama3.1:8b,4,2,3,3.82,2,15.08,0.856
llama3.1:8b,4,2,4,3.82,2,3.38,3.701
llama3.1:8b,4,2,5,3.82,2,2.97,4.13
llama3.1:8b,4,2,6,3.82,2,1.58,2.964
llama3.1:8b,4,2,0,3.82,4,3.49,3.332
llama3.1:8b,4,2,1,3.82,4,4.7,3.444
llama3.1:8b,4,2,2,3.82,4,3.61,3.452
llama3.1:8b,4,2,3,3.82,4,15.36,0.994
llama3.1:8b,4,2,4,3.82,4,11.19,2.961
llama3.1:8b,4,2,5,3.82,4,3.49,3.371
llama3.1:8b,4,2,6,3.82,4,4.35,4.573
llama3.1:8b,4,2,0,3.82,6,4.73,4.062
llama3.1:8b,4,2,1,3.82,6,4.45,3.877
llama3.1:8b,4,2,2,3.82,6,3.58,3.955
llama3.1:8b,4,2,3,3.82,6,13.37,0.912
llama3.1:8b,4,2,4,3.82,6,8.67,2.767
llama3.1:8b,4,2,5,3.82,6,3.96,3.895
llama3.1:8b,4,2,6,3.82,6,5.63,4.771
llama3.1:8b,4,2,0,3.82,8,5.36,4.112
llama3.1:8b,4,2,1,3.82,8,5.85,4.461
llama3.1:8b,4,2,2,3.82,8,5.14,3.948
llama3.1:8b,4,2,3,3.82,8,8.39,0.899
llama3.1:8b,4,2,4,3.82,8,7.66,2.393
llama3.1:8b,4,2,5,3.82,8,5.31,4.22
llama3.1:8b,4,2,6,3.82,8,4.89,4.311
llama3.1:8b,4,2,0,3.82,10,5.75,3.423
llama3.1:8b,4,2,1,3.82,10,5.88,4.38
llama3.1:8b,4,2,2,3.82,10,4.45,3.717
llama3.1:8b,4,2,3,3.82,10,11.77,0.898
llama3.1:8b,4,2,4,3.82,10,11.88,2.588
llama3.1:8b,4,2,5,3.82,10,5.99,3.517
llama3.1:8b,4,2,6,3.82,10,9.32,5.131
